,Mkt-RF,SMB,HML,RMW,CMA,RF
2017-10-23,-0.45,-0.38,0.12,0.27,-0.25,0.004
2017-10-24,0.2,-0.1,0.47,0.02,-0.15,0.004
2017-10-25,-0.51,0.01,0.11,0.23,-0.42,0.004
2017-10-26,0.2,0.07,0.23,0.19,-0.16,0.004
2017-10-27,0.82,-0.08,-1.02,0.14,-1.32,0.004
2017-10-30,-0.46,-0.76,-0.06,-0.58,-0.43,0.004
2017-10-31,0.23,0.75,-0.22,-0.17,0.22,0.004
2017-11-01,0.05,-0.8,0.15,-0.09,-0.07,0.004
2017-11-02,0.06,-0.01,0.49,-0.23,0.34,0.004
2017-11-03,0.31,-0.53,-0.7,-0.16,-0.17,0.004
2017-11-06,0.06,0.16,0.19,-0.62,0.03,0.004
2017-11-07,-0.2,-1.41,-0.37,0.41,-0.03,0.004
2017-11-08,0.12,-0.03,-0.62,0.6,-0.01,0.004
2017-11-09,-0.41,0,0.22,-0.01,0.1,0.004
2017-11-10,0.01,0.05,-0.38,0.2,0.15,0.004
2017-11-13,0.09,-0.3,0.02,0.07,-0.74,0.004
2017-11-14,-0.22,-0.08,0,0.95,-0.4,0.004
2017-11-15,-0.52,0.04,0.24,-0.08,0.15,0.004
2017-11-16,1.01,0.78,-0.52,0.52,0.32,0.004
2017-11-17,-0.14,0.73,0.29,-0.16,0.35,0.004
2017-11-20,0.21,0.62,0,0.27,-0.01,0.004
2017-11-21,0.67,0.35,-0.35,0.04,-0.62,0.004
2017-11-22,-0.05,0.09,-0.03,-0.26,0.16,0.004
2017-11-24,0.21,0.01,-0.45,0.04,-0.09,0.004
2017-11-27,-0.06,-0.32,0.03,0.59,-0.1,0.004
2017-11-28,1.06,0.57,0.86,0.32,0.03,0.004
2017-11-29,0.02,0.3,1.44,0.81,0.6,0.004
2017-11-30,0.82,-0.6,-0.51,-0.19,0.02,0.004
2017-12-01,-0.22,-0.33,0.37,-0.43,0.33,0.004
2017-12-04,-0.1,-0.14,1.23,1,0.57,0.004
2017-12-05,-0.43,-0.45,-0.24,0.18,-0.11,0.004
2017-12-06,-0.09,-0.52,-0.52,0.42,-0.5,0.004
2017-12-07,0.42,0.28,-0.17,-0.27,0.07,0.004
2017-12-08,0.51,-0.42,-0.13,-0.08,0.07,0.004
